pmid,title,google_scholar_url,pdf_found,notes
36304805,METHEMOGLOBINEMIA - A CASE REPORT  AND LITERATURE REVIEW.,https://scholar.google.com/scholar?q=METHEMOGLOBINEMIA+-+A+CASE+REPORT+ AND+LITERATURE+REVIEW.,No,
33122582,Rasburicase-induced Methemoglobinemia: A Case Report and Literature Review.,https://scholar.google.com/scholar?q=Rasburicase-induced+Methemoglobinemia+A+Case+Report+and+Literature+Review.,No,
37421600,Ascorbic Acid for Methemoglobinemia Treatment: A Case Report and Literature Review.,https://scholar.google.com/scholar?q=Ascorbic+Acid+for+Methemoglobinemia+Treatment+A+Case+Report+and+Literature+Review.,No,
36451721,Acute dapsone poisoning with methemoglobinemia: a case report.,https://scholar.google.com/scholar?q=Acute+dapsone+poisoning+with+methemoglobinemia+a+case+report.,No,
39984978,A blue blood toddler- a case report of methemoglobinemia and literature review.,https://scholar.google.com/scholar?q=A+blue+blood+toddler-+a+case+report+of+methemoglobinemia+and+literature+review.,No,
41320991,Methemoglobinemia in Pregnancy: A Case Report and Comprehensive Review of the Literature.,https://scholar.google.com/scholar?q=Methemoglobinemia+in+Pregnancy+A+Case+Report+and+Comprehensive+Review+of+the+Literature.,No,
33449539,Case Report of Remifentanil Labor Analgesia for a Pregnant Patient With Congenital Methemoglobinemia Type 1.,https://scholar.google.com/scholar?q=Case+Report+of+Remifentanil+Labor+Analgesia+for+a+Pregnant+Patient+With+Congenital+Methemoglobinemia+Type+1.,No,
35725643,Methemoglobinemia due to use of poppers: a case report.,https://scholar.google.com/scholar?q=Methemoglobinemia+due+to+use+of+poppers+a+case+report.,No,
38799189,Acquired methemoglobinemia induced by indoxacarb poisoning: a case report.,https://scholar.google.com/scholar?q=Acquired+methemoglobinemia+induced+by+indoxacarb+poisoning+a+case+report.,No,
39711837,Acquired methemoglobinemia in infancy secondary to diarrhea: a case report.,https://scholar.google.com/scholar?q=Acquired+methemoglobinemia+in+infancy+secondary+to+diarrhea+a+case+report.,No,
20637402,Is threshold for treatment of methemoglobinemia the same for all? A case report and literature review.,https://scholar.google.com/scholar?q=Is+threshold+for+treatment+of+methemoglobinemia+the+same+for+all?+A+case+report+and+literature+review.,No,
15106687,Dental anesthesia management of methemoglobinemia-susceptible patients: a case report and review of literature.,https://scholar.google.com/scholar?q=Dental+anesthesia+management+of+methemoglobinemia-susceptible+patients+a+case+report+and+review+of+literature.,No,
16640711,Methemoglobinemia following transesophageal echocardiography: a case report and review.,https://scholar.google.com/scholar?q=Methemoglobinemia+following+transesophageal+echocardiography+a+case+report+and+review.,No,
37296483,Whole-blood ribonucleic acid sequencing analysis in methemoglobinemia: a case report.,https://scholar.google.com/scholar?q=Whole-blood+ribonucleic+acid+sequencing+analysis+in+methemoglobinemia+a+case+report.,No,
35875039,Methemoglobinemia and Delayed Encephalopathy After 5-Bromo-2-Nitropyridine Poisoning: A Rare Case Report.,https://scholar.google.com/scholar?q=Methemoglobinemia+and+Delayed+Encephalopathy+After+5-Bromo-2-Nitropyridine+Poisoning+A+Rare+Case+Report.,No,
33847673,A case report of acquired methemoglobinemia rescued by veno-venous extracorporeal membrane oxygenation.,https://scholar.google.com/scholar?q=A+case+report+of+acquired+methemoglobinemia+rescued+by+veno-venous+extracorporeal+membrane+oxygenation.,No,
18853835,Methylene blue-induced methemoglobinemia during cardiopulmonary bypass? A case report and literature review.,https://scholar.google.com/scholar?q=Methylene+blue-induced+methemoglobinemia+during+cardiopulmonary+bypass?+A+case+report+and+literature+review.,No,
28803519,A Case Report of Benzocaine-Induced Methemoglobinemia.,https://scholar.google.com/scholar?q=A+Case+Report+of+Benzocaine-Induced+Methemoglobinemia.,No,
36984616,Hereditary Congenital Methemoglobinemia Diagnosed at the Age of 79 Years: A Case Report.,https://scholar.google.com/scholar?q=Hereditary+Congenital+Methemoglobinemia+Diagnosed+at+the+Age+of+79+Years+A+Case+Report.,No,
20306428,[Acquired methemoglobinemia--case report].,https://scholar.google.com/scholar?q=[Acquired+methemoglobinemia--case+report].,No,
32909713,Unexplained Methemoglobinemia in Coronavirus Disease 2019: A Case Report.,https://scholar.google.com/scholar?q=Unexplained+Methemoglobinemia+in+Coronavirus+Disease+2019+A+Case+Report.,No,
10616167,Methemoglobinemia induced by topical anesthesia: a case report and review.,https://scholar.google.com/scholar?q=Methemoglobinemia+induced+by+topical+anesthesia+a+case+report+and+review.,No,
