pmid,title,abstract,journal,pub_year,authors,filename
36304805,METHEMOGLOBINEMIA - A CASE REPORT  AND LITERATURE REVIEW.,"The objective of this case report is to present a patient with acquired methemoglobinemia due to poisoning of an unknown cause. A 55-year-old man was brought to the Emergency Department, University Hospital Center Zagreb, with an unwell appearance, cyanotic, restless, and presented with a quantitative consciousness disorder. An initial assessment showed decreased oxygen saturation (SpO2 85 [%]), while point-of-care arterial blood gas (ABG) analysis assessed normal partial pressure of oxygen (pO2). Severe lactic acidosis with a compensatory drop in partial pressure of carbon dioxide (pCO2) and high rates of methemoglobin were found. Supportive oxygen therapy and crystalloid solutions were administered, which resulted in rapid clinical recovery within 40 minutes of the initial assessment. Clinical recovery was accompanied by normalized ABG test results taken serially. Typical antidotes, methylene blue and vitamin C, were not administered due to rapid clinical improvement. Methemoglobinemia can be congenital (hereditary) or acquired (toxic). Both conditions are rarely seen in emergency departments, nevertheless, they should be approached properly since methemoglobinemia can be a severe, and fatal, condition. Methemoglobinemia symptoms are the results of inadequate oxygen transport. The diagnosis was confirmed by co-oximetry, while three clinical entities suspected methemoglobinemia: refractory hypoxia, ""cyanosis-saturation gap"" and dark brown blood. This paper reports our patient's clinical presentation, discusses the causes and mechanisms of possible poisoning, and reviews recent guidelines for methemoglobinemia management.",Acta clinica Croatica,2022,"Ivek I, Knotek T, Ivičić T",abstract_36304805.txt
33122582,Rasburicase-induced Methemoglobinemia: A Case Report and Literature Review.,"Rasburicase is a recombinant urate oxidase enzyme indicated for tumor lysis syndrome, a potential life-threatening oncologic emergency that occurs most commonly during initial chemotherapy for hematological malignancies. As a result of the defects in the physiological antioxidant pathway, erythrocytes of patients with glucose-6-phosphate dehydrogenase deficiency are not protected against the oxidizing stress exerted by hydrogen peroxide generated with the administration of rasburicase. The authors report a 14-year-old patient, diagnosed with T-cell acute lymphoblastic leukemia, who developed methemoglobinemia and hemolytic anemia with low oxygen saturation after starting steroids, hyperhydratation, and rasburicase administration. The complications resolved with supportive therapy only.",Journal of pediatric hematology/oncology,2021,"Pirrone I, Farruggia P, Cacciatore F",abstract_33122582.txt
37421600,Ascorbic Acid for Methemoglobinemia Treatment: A Case Report and Literature Review.,"<b>Purpose:</b> Ascorbic acid has been proposed as an alternative treatment for methemoglobinemia in patients with glucose-6-phosphate dehydrogenase (G6PD) deficiency. However, its efficacy has never been compared to that of methylene blue given the inability of patients with G6PD deficiency to receive methylene blue. We present a case of methemoglobinemia treated with ascorbic acid in a patient without G6PD deficiency who had previously received methylene blue. <b>Summary:</b> A 66-year-old male was treated for methemoglobinemia deemed to be secondary to benzocaine throat spray. He received intravenous (IV) methylene blue but had a severe reaction: diaphoresis, lightheadedness, and hypotension. The infusion was stopped prior to completion. Approximately 6 days later he presented with methemoglobinemia following an additional overconsumption of benzocaine and was treated with ascorbic acid. In both instances his methemoglobin levels were >30% on arterial blood gas on admission and decreased to 6.5% and 7.8%, respectively, after administration of methylene blue and ascorbic acid. <b>Conclusion:</b> Ascorbic acid had a similar effect on decreasing the concentration of methemoglobin compared to methylene blue. Further research into use of ascorbic acid as a recommended agent for treatment of methemoglobinemia is warranted.",Journal of pharmacy practice,2024,"Keats KR, Robinson R, Patel M",abstract_37421600.txt
36451721,Acute dapsone poisoning with methemoglobinemia: a case report.,"Methemoglobinemia is a common complication of dapsone poisoning. Its´ treatment usually relies on methylene blue infusion. The aim of this study was to report a case of an acute dapsone poisoning with methemoglobinemia treated only with ascorbic acid and activated charcoal. A 16-year-old female voluntary ingested 3 grams of dapsone in an attempt of suicide and presented with desaturation and tachypnea. Lab findings were compatible with methemoglobinemia. After two days of treatment with ascorbic acid and activated charcoal, we observed the disappearance of desaturation and tachypnea. Methemoglobinemia can be treated with ascorbic acid and activated charcoal in limited resource settings.",The Pan African medical journal,2022,"El Hamzaoui H, Chajai I, El Ouazzani MC",abstract_36451721.txt
39984978,A blue blood toddler- a case report of methemoglobinemia and literature review.,"Methemoglobinemia (MetHb) is a rare and potentially life-threatening condition caused by oxidation of ferrous hemoglobin (Fe2+) to the ferric (Fe3+) state, making it incapable of binding oxygen and resulting in cyanosis and tissue ischemia. This case presentation describes a 1-year-old boy who developed sudden cyanosis and reduced consciousness disorder. An initial assessment showed decreased oxygen saturation (SpO2 85%) despite oxygen therapy, while point-of-care venous blood gas (VBG) analysis assessed high rates of MetHb (72.7%). Methylene blue and ascorbic acid were administered, resulting in in rapid clinical recovery and normalized VBG test results. The trigger for this condition was not identified, however the most likely cause of poisoning was attributed to food oxidants. Starting from the description of a clinical case, this paper discusses the causes and mechanisms of possible poisoning and reviews recent guidelines for methemoglobinemia management.",Italian journal of pediatrics,2025,"Pjetraj D, Mechri ME, Bacelli S",abstract_39984978.txt
41320991,Methemoglobinemia in Pregnancy: A Case Report and Comprehensive Review of the Literature.,"Methemoglobinemia causes hypoxia and can be congenital or acquired through chemical or drug exposure. Standard therapy for non-pregnant symptomatic cases is methylene blue, which poses potential fetal risks in pregnancy. We report a case of a pregnant patient with methemoglobinemia who presented with dyspnea at 18 weeks of gestation. Intravenous ascorbic acid was administered with resolution of dyspnea, and the patient was started on daily oral ascorbic acid upon discharge. With avoidance of potentially inciting agents, the patient proceeded to have a full-term, uncomplicated spontaneous vaginal delivery of a viable female neonate. This report analyzes previously reported cases of methemoglobinemia in pregnancy, its pathophysiology, diagnostic workup, and suggested management. Daily ascorbic acid may be a feasible alternative to methylene blue for the management of symptomatic methemoglobinemia in pregnancy.",Journal of investigative medicine high impact case reports,2025,"Ng A, Greidinger A, Fischer RL",abstract_41320991.txt
33449539,Case Report of Remifentanil Labor Analgesia for a Pregnant Patient With Congenital Methemoglobinemia Type 1.,"Congenital methemoglobinemia is a rare disease characterized by cyanosis and a left shifting of the oxyhemoglobin dissociation curve. The disease necessitates avoidance of certain medications commonly used in obstetrics, making labor analgesia and anesthesia challenging. We present a case report of peripartum anesthetic management of a pregnant patient with congenital methemoglobinemia type 1 who received remifentanil labor analgesia and continuous methemoglobin monitoring. Continuous real-time monitoring of methemoglobin concentrations may prove to be a useful monitor in future care settings. A review of literature encompassing various perioperative and obstetric anesthesia and analgesia management considerations is presented.",A&A practice,2021,"Yin W, Jung F, Adams D",abstract_33449539.txt
35725643,Methemoglobinemia due to use of poppers: a case report.,"Methemoglobinemia is an excess of oxidized hemoglobin in the blood, affecting oxygen transportation. It is characterized by central cyanosis that does not respond to oxygen therapy. Prognosis is excellent when treated adequately and rapidly. We present a case report of a 38-year-old Caucasian man suffering from methemoglobinemia due to the use of poppers. A 38-year-old Caucasian man known as a smoker and addicted to cocaine was admitted to the emergency department with dyspnea, agitation, and central cyanosis that started approximately 3 hours before admission. The persistent hypoxia despite high-flow oxygen therapy and a history of poppers use helped to reveal a condition known as methemoglobinemia. Our case highlighted a typical clinical presentation of methemoglobinemia. This possible life-threatening condition can occur after ingestion or inhalation of poppers, commonly sold in sex shops for recreational purposes. This can be easily confirmed by the methemoglobin level of the blood gases, provided the emergency physician considers this diagnosis. Rapid treatment with intravenous methylene blue is effective and leads to a favorable prognosis.",Journal of medical case reports,2022,"Sonck E, Bourmanne E, Bruteyn J",abstract_35725643.txt
38799189,Acquired methemoglobinemia induced by indoxacarb poisoning: a case report.,"Indoxacarb, a large-spectrum non-organophosphorus oxadiazine insecticide, is broadly used in farming whose mechanism of action is the blockage of voltage-gated sodium channels of insects. There is restricted data on human poisoning. We report a case of an 18-year-old male patient without comorbidities presented with unconsciousness and cyanosis after the intentional ingestion of indoxacarb in a suicide attempt. Methemoglobinemia was clinically suspected and was successfully treated after methylene blue injection, associated with supportive and symptomatic management. This case emphasizes the importance of considering methemoglobinemia after indoxacarb ingestion in addition to its early recognition and timely injection of methylene blue which led to complete recovery without sequelae.",The Pan African medical journal,2024,"Braiek DB, Hidri R, Kaabi C",abstract_38799189.txt
39711837,Acquired methemoglobinemia in infancy secondary to diarrhea: a case report.,"Methemoglobinemia (MetHb) is a life-threatening condition that reduces the oxygen-carrying ability of hemoglobin. Acquired methemoglobinemia usually results from exposure to specific oxidizing agents. Symptoms and complications depend on the MetHb level, which can sometimes be fatal. We present a case of a 6-week-old infant exhibiting hypoxia alongside gastroenteritis, fever, poor oral intake and low activity, with confirmed methemoglobinemia in blood gas analysis. Despite negative results in the workup for underlying causes, including genetic testing conducted later, methylene blue administration only partially reduced methemoglobinemia level. Treatment involved managing diarrhea by transitioning to a hydrolyzed formula. Interestingly, an incidental discovery of partial central venous sinus thrombosis occurred during the diagnostic process, although no established correlation with methemoglobinemia was evident in the literature. This case report illustrates the complex presentation of methemoglobinemia in a previously healthy infant, occurring concurrently with gastrointestinal infection and unexpected thrombosis. It underscores the need for interdisciplinary collaboration and comprehensive management in addressing such multifaceted clinical scenarios in pediatric practice. This case emphasizes the importance of considering diarrhea as a possible cause of methemoglobinemia, especially in infancy. It also highlights the need for increased clinical awareness and prompt management approaches towards the various presentations of acquired methemoglobinemia in pediatric populations.",The Pan African medical journal,2024,"Aly MH, Bukhari HM, Aldirawi MAH",abstract_39711837.txt
