pmid,source_file,source_type,text_length,text
10616167,abstract_10616167.txt,abstract,1221,"PMID: 10616167
Title: Methemoglobinemia induced by topical anesthesia: a case report and review.
Journal: The American journal of the medical sciences
Year: 1999
Authors: Khan NA, Kruse JA

================================================================================

ABSTRACT:
Topical anesthetic drugs are widely used by clinicians during hospital and outpatient procedures and are also available to the public in a variety of over-the-counter preparations. Although generally safe, they may cause potentially life-threatening methemoglobinemia. We describe a patient who developed repeated episodes of severe methemoglobinemia after administration of topical Cetacaine spray (a proprietary mixture of benzocaine, tetracaine, and butamben) employed for pharyngeal anesthesia before endotracheal intubation, and briefly review the etiology and pathophysiology of this disorder. Cautious interpretation of oxyhemoglobin saturation values obtained by pulse oximetry or estimated from arterial blood gas analysis is crucial lest the diagnosis of severe methemoglobinemia and the resulting hypoxemia are overlooked. If necessary, the condition is usually readily corrected by intravenous administration of methylene blue."
15106687,abstract_15106687.txt,abstract,1388,"PMID: 15106687
Title: Dental anesthesia management of methemoglobinemia-susceptible patients: a case report and review of literature.
Journal: Anesthesia progress
Year: 2004
Authors: Hall DL, Moses MK, Weaver JM

================================================================================

ABSTRACT:
A healthy but slightly pale 24-year-old female patient with a history of ""turning blue"" following dental procedures performed under local anesthesia claimed allergies to sulfa drugs, aspirin, Benadryl, and ""all caines."" The patient also acknowledged mild cyanosis after extreme exertion, Native American ancestry, and a 1996 diagnosis of methemoglobinemia following administration of a sulfa drug. Previous medical and dental records were reviewed. Restoration of several teeth and extraction of 2 third-molar teeth were completed under general anesthesia. Anesthesia was induced with propofol, nasotracheal intubation was accomplished with succinylcholine, and anesthesia was maintained with desflurane in oxygen supplemented by meperidine without local anesthesia. Vital signs, including pulse oximetry, remained stable, and the patient was dismissed after a 2-hour recovery/observation period. The patient experienced no postoperative complications. This case report provides a review of literature and clinical guidelines for management of methemoglobinemia-susceptible patients."
16640711,abstract_16640711.txt,abstract,1645,"PMID: 16640711
Title: Methemoglobinemia following transesophageal echocardiography: a case report and review.
Journal: Echocardiography (Mount Kisco, N.Y.)
Year: 2006
Authors: BheemReddy S, Messineo F, Roychoudhury D

================================================================================

ABSTRACT:
Benzocaine (ethyl aminobenzoate) is a topical anesthetic widely used for oropharyngeal anesthesia prior to transesophageal echocardiography (TEE). Topical anesthetics have been reported to cause methemoglobinemia, but this adverse event is extremely rare and has not been listed as one of the possible complications of TEE. However, recently the number of published case reports of TEE-associated methemoglobinemia has increased. Since its first description in 1950, 65 cases of methemoglobinemia have been reported including a recent report of five cases from a single center. Physicians who are not familiar with the association of TEE with benzocaine-induced methemoglobinemia may not recognize the idiosyncratic and often nonspecific characteristic of this condition. Recognition is critical, however, since left untreated methemoglobinemia can lead to cardiopulmonary compromise, neurological sequelae, and even death. The current report documents an additional case of TEE-associated methemoglobinemia from a high-volume (8000 cases /year including 400-450 TEE/year) echo lab. A review of the literature suggests that this complication may be more prevalent, than generally appreciated. This case report emphasizes the importance of appropriate dose, recognition, and the treatment of this entity to cardiologists performing TEE."
18853835,abstract_18853835.txt,abstract,2024,"PMID: 18853835
Title: Methylene blue-induced methemoglobinemia during cardiopulmonary bypass? A case report and literature review.
Journal: The journal of extra-corporeal technology
Year: 2008
Authors: McRobb CM, Holt DW

================================================================================

ABSTRACT:
The guanylate cyclase (GC) and inducible nitric oxide (iNOS) inhibitor methylene blue (MB) has been used in cardiac surgery patients for the treatment of a variety of conditions. Methylene blue has been successfully used for the prevention and treatment of vasoplegia syndrome (VS) in patients undergoing cardiac surgery with cardiopulmonary bypass (CPB). Vasoplegia syndrome occurs in up to 10% of cardiac surgery patients and is associated with poor clinical outcomes. Vasoplegia syndrome is described along with the results of studies that have shown benefits of MB in the treatment of VS. These studies include the use of MB prior to CPB, when added to the CPB prime and when given into the CPB circuit during the operation. We report a case of emergency CPB on a 55-year-old male with bacterial endocarditis, scheduled for an AVR/MVR who arrested on arrival to the operating room. Once on CPB the patient developed a profound hypotension despite normal to high pump flows, with low systemic vascular resistance (SVR), which was refractory to vasopressors--consistent with a diagnosis of VS. Unbeknownst to the perfusionist, the patient was treated with MB which was immediately followed by an apparent sudden arterial desaturation, despite oxygenator ventilation with 100% oxygen (O2), and development of severe metabolic acidosis. Troubleshooting the cause of the apparent desaturation and eventual diagnosis of a false indication of arterial oxygen desaturation and methemoglobinemia (MHgb) due to MB injection is described. Methemoglobinemia is explained as well as its presentation and treatment with MB. The importance of intraoperating room communication and knowledge of drug effects are discussed."
19263080,abstract_19263080.txt,abstract,1365,"PMID: 19263080
Title: Severe hemolysis and methemoglobinemia following fava beans ingestion in glucose-6-phosphatase dehydrogenase deficiency: case report and literature review.
Journal: European journal of pediatrics
Year: 2009
Authors: Schuurman M, van Waardenburg D, Da Costa J

================================================================================

ABSTRACT:
Reduced concentrations of glucose-6-phospate dehydrogenase (G6PD) render erythrocytes susceptible to hemolysis under conditions of oxidative stress. In favism, the ingestion of fava beans induces an oxidative stress to erythrocytes, leading to acute hemolysis. The simultaneous occurrence of methemoglobinemia has been reported only scarcely, despite the fact that both phenomena are the consequence of a common pathophysiologic mechanism. The presence of methemoglobinemia has important diagnostic and therapeutic consequences. We report a previously healthy boy who presented with combined severe hemolytic anemia and cyanosis due to methemoglobinemia, following the ingestion of fava beans. His condition was complicated by the development of transient acute renal failure. A G6PD-deficiency was diagnosed. We review the literature on the combination of acute hemolysis and methemoglobinemia in favism. Pathophysiologic, diagnostic, and therapeutic aspects of this disorder are discussed."
20306428,abstract_20306428.txt,abstract,1057,"PMID: 20306428
Title: [Acquired methemoglobinemia--case report].
Journal: Pneumonologia i alergologia polska
Year: 2010
Authors: Paczek A, Wawrzyńska L, Mendek-Czajkowska E

================================================================================

ABSTRACT:
Methemoglobinemia; an increased concentration of methemoglobin in the blood, is an altered state of hemoglobin whereby the ferrous form of iron is oxidized to the ferric state, rendering the heme moiety incapable of carrying oxygen. The authors present a case of 49-year-old man who was admitted to the department of chest medicine with dyspnea, weakness and cyanosis in whom differential diagnosis excluded acute and chronic pulmonary and cardiovascular disease. Clinical cyanosis and low measured oxygen saturation in the presence of normal arterial oxygen tension was highly suggestive of methemoglobinemia (""saturation gap""). Methemoglobin level, measured at the acute phase of disease was elevated at 16%. Episode resolved spontaneously. Causes of methemoglobinemia was not established."
20637402,abstract_20637402.txt,abstract,1844,"PMID: 20637402
Title: Is threshold for treatment of methemoglobinemia the same for all? A case report and literature review.
Journal: The American journal of emergency medicine
Year: 2010
Authors: El-Husseini A, Azarov N

================================================================================

ABSTRACT:
Acquired methemoglobinemia (MetHb) is a rare complication of exposure to toxic chemicals or drugs, most commonly topical anesthetic agents. This condition occurs when the rate of methemoglobin production exceeds the rate of methemoglobin reduction. Topical anesthetics have been reported to cause MetHb, but this adverse event is extremely rare and is not usually listed as one of the possible complications of transesophageal echocardiography (TEE). However, the number of published case reports of TEE-associated MetHb has recently increased. Benzocaine (ethyl aminobenzoate) is a topical anesthetic widely used for oropharyngeal anesthesia before TEE. Health care providers who are not familiar with the association of TEE and benzocaine-induced MetHb may not recognize the idiosyncratic and often nonspecific characteristics of this condition. Recognition is critical, as clinically important symptoms may occur at relatively low MetHb levels. If left untreated, MetHb can lead to cardiopulmonary compromise, severe neurologic impairment, and even death. The current report documents a case of TEE-associated MetHb from a high-volume (3000 cases per year including 300-350 TEEs per year) echo laboratory. Our patient was symptomatic and severely distressed, despite a MetHb level of only 10.8%. This case report emphasizes the importance of early recognition and treatment of MetHb, as it represents a medical emergency and can be severely symptomatic, especially in young children and the elderly, even with low MetHb levels."
28803519,abstract_28803519.txt,abstract,1170,"PMID: 28803519
Title: A Case Report of Benzocaine-Induced Methemoglobinemia.
Journal: Journal of pharmacy practice
Year: 2018
Authors: Sewell CR, Rivey MP

================================================================================

ABSTRACT:
Methemoglobinemia is a serious medical condition characterized by the disrupted binding of oxygen to iron on hemoglobin, with a consequent impaired oxygen delivery to body tissues. Various drugs including the local anesthetics such as benzocaine can cause acquired methemoglobinemia. The reported case describes methemoglobinemia that occurred in association with the use of topical benzocaine spray and lozenges in a previously healthy 51-year-old female who had undergone colon surgery to remove a bleeding polyp. Pulse oximetry revealed the patient was hypoxic and a measured methemoglobin (MetHB) serum concentration was 32.4%, well above the normal of less than 2%. Treatment with intravenous methylene blue resulted in a rapid improvement in the patient's respiratory status. The case emphasizes the need for practitioners to appreciate that topical benzocaine products can cause potentially fatal methemoglobinemia."
32909713,abstract_32909713.txt,abstract,929,"PMID: 32909713
Title: Unexplained Methemoglobinemia in Coronavirus Disease 2019: A Case Report.
Journal: A&A practice
Year: 2020
Authors: Faisal H, Bloom A, Gaber AO

================================================================================

ABSTRACT:
Methemoglobinemia is a rare disorder of the blood in which there is an increase in methemoglobin, which occurs when hemoglobin is present in the oxidized form. Methemoglobin impairs hemoglobin's ability to transport oxygen, produces functional anemia, and leads to tissue hypoxia. We report the successful management of a case of refractory hypoxia due to acutely acquired methemoglobinemia in a patient undergoing treatment for coronavirus disease 2019 (COVID-19) pneumonia. The cause of methemoglobinemia in this patient remains unknown. Hypoxia and methemoglobinemia did not respond to methylene blue and required administration of packed red blood cell transfusions."
33122582,abstract_33122582.txt,abstract,1094,"PMID: 33122582
Title: Rasburicase-induced Methemoglobinemia: A Case Report and Literature Review.
Journal: Journal of pediatric hematology/oncology
Year: 2021
Authors: Pirrone I, Farruggia P, Cacciatore F

================================================================================

ABSTRACT:
Rasburicase is a recombinant urate oxidase enzyme indicated for tumor lysis syndrome, a potential life-threatening oncologic emergency that occurs most commonly during initial chemotherapy for hematological malignancies. As a result of the defects in the physiological antioxidant pathway, erythrocytes of patients with glucose-6-phosphate dehydrogenase deficiency are not protected against the oxidizing stress exerted by hydrogen peroxide generated with the administration of rasburicase. The authors report a 14-year-old patient, diagnosed with T-cell acute lymphoblastic leukemia, who developed methemoglobinemia and hemolytic anemia with low oxygen saturation after starting steroids, hyperhydratation, and rasburicase administration. The complications resolved with supportive therapy only."
